in:ID [-],in:Type [-],in:Dep [m],in:PWT [%],in:FAR [-],in:Len [m],in:RS [m],in:SS [m],out:GFA [m2],out:LotCov [-],out:PC_1 [%],out:PC_2 [%],out:PC_3 [%],out:PC_4 [%],out:PC_5 [%],img
74,2,20,50,10,40,10,0,80861,0.248,0.1,9,26.2,37,27.7,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/74ScreenParallel.webp
75,0,30,50,10,40,10,0,80400,0.164,0.1,6.5,18.4,23.7,51.4,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/75ScreenParallel.webp
76,1,30,50,10,40,10,0,80882,0.185,0.1,4.8,23.1,24.4,47.6,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/76ScreenParallel.webp
77,2,30,50,10,40,10,0,80861,0.248,0.1,9,26.2,37,27.7,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/77ScreenParallel.webp
78,0,40,50,10,40,10,0,81292,0.175,0.1,4.3,14.5,26.8,54.3,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/78ScreenParallel.webp
79,1,40,50,10,40,10,0,81649,0.199,0.1,5.9,20.9,24.4,48.8,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/79ScreenParallel.webp
80,2,40,50,10,40,10,0,80861,0.248,0.1,9,26.2,37,27.7,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/80ScreenParallel.webp
81,0,20,30,10,60,10,0,78837,0.216,0.8,12.4,29.3,33.4,24.1,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/81ScreenParallel.webp
82,1,20,30,10,60,10,0,79472,0.218,0.3,12.3,28.7,34.3,24.3,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/82ScreenParallel.webp
83,2,20,30,10,60,10,0,79221,0.247,0.1,8.5,26.5,36.3,28.5,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/83ScreenParallel.webp
84,0,30,30,10,60,10,0,78611,0.233,0.1,11.2,29.3,34.9,24.5,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/84ScreenParallel.webp
85,1,30,30,10,60,10,0,78756,0.235,0.1,10.3,28.7,35.8,25.2,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/85ScreenParallel.webp
